p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.213384 0.270110 1.561591, result: 0.270110
ph: -0.202453 0.273560 1.561038, result: 0.273560
ph: -0.191392 0.276871 1.560506, result: 0.276871
ph: -0.180195 0.280039 1.559998, result: 0.280039
ph: -0.168856 0.283056 1.559513, result: 0.283056
ph: -0.704091 0.001091 1.581795, result: 0.001091
ph: -0.696108 0.008560 1.580613, result: 0.008560
ph: -0.688106 0.015985 1.579438, result: 0.015985
ph: -0.680084 0.023364 1.578271, result: 0.023364
ph: -0.672042 0.030698 1.577111, result: 0.030698
ph: -0.663978 0.037985 1.575958, result: 0.037985
ph: -0.655892 0.045226 1.574813, result: 0.045226
ph: -0.647784 0.052420 1.573674, result: 0.052420
ph: -0.639652 0.059567 1.572544, result: 0.059567
ph: -0.631496 0.066665 1.571421, result: 0.066665
ph: -0.623316 0.073714 1.570306, result: 0.073714
ph: -0.615109 0.080714 1.569198, result: 0.080714
ph: -0.606876 0.087664 1.568099, result: 0.087664
ph: -0.598616 0.094563 1.567008, result: 0.094563
ph: -0.590328 0.101411 1.565924, result: 0.101411
ph: -0.582010 0.108207 1.564849, result: 0.108207
ph: -0.573662 0.114950 1.563782, result: 0.114950
ph: -0.565284 0.121640 1.562724, result: 0.121640
ph: -0.556873 0.128275 1.561675, result: 0.128275
ph: -0.548430 0.134855 1.560634, result: 0.134855
ph: -0.539952 0.141379 1.559602, result: 0.141379
ph: -0.531439 0.147846 1.558578, result: 0.147846
ph: -0.522890 0.154255 1.557565, result: 0.154255
ph: -0.514303 0.160606 1.556560, result: 0.160606
ph: -0.505678 0.166897 1.555565, result: 0.166897
ph: -0.497013 0.173127 1.554579, result: 0.173127
ph: -0.488306 0.179295 1.553603, result: 0.179295
ph: -0.479557 0.185400 1.552638, result: 0.185400
ph: -0.470763 0.191441 1.551682, result: 0.191441
ph: -0.461924 0.197417 1.550737, result: 0.197417
ph: -0.453038 0.203326 1.549802, result: 0.203326
ph: -0.444104 0.209167 1.548878, result: 0.209167
ph: -0.435118 0.214938 1.547965, result: 0.214938
ph: -0.426081 0.220639 1.547063, result: 0.220639
ph: -0.416990 0.226268 1.546172, result: 0.226268
ph: -0.407844 0.231823 1.545294, result: 0.231823
ph: -0.398639 0.237302 1.544427, result: 0.237302
ph: -0.389375 0.242703 1.543572, result: 0.242703
ph: -0.380048 0.248026 1.542730, result: 0.248026
ph: -0.370658 0.253268 1.541901, result: 0.253268
ph: -0.361201 0.258426 1.541085, result: 0.258426
ph: -0.351675 0.263499 1.540282, result: 0.263499
ph: -0.342077 0.268485 1.539494, result: 0.268485
ph: -0.332406 0.273381 1.538719, result: 0.273381
ph: -0.322656 0.278185 1.537959, result: 0.278185
ph: -0.312827 0.282894 1.537214, result: 0.282894
ph: -0.302914 0.287505 1.536485, result: 0.287505
ph: -0.292915 0.292016 1.535771, result: 0.292016
ph: -0.282825 0.296423 1.535074, result: 0.296423
ph: -0.272642 0.300724 1.534394, result: 0.300724
ph: -0.262360 0.304914 1.533731, result: 0.304914
ph: -0.251976 0.308990 1.533086, result: 0.308990
ph: -0.241486 0.312949 1.532460, result: 0.312949
