p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.191829 -1.962697 2.858786, result: -1.962697
ph: -0.179409 -1.962214 2.859313, result: -1.962214
ph: -0.166997 -1.961764 2.859804, result: -1.961764
ph: -0.154594 -1.961346 2.860260, result: -1.961346
ph: -0.142199 -1.960961 2.860680, result: -1.960961
ph: -0.129810 -1.960608 2.861065, result: -1.960608
ph: -0.117428 -1.960287 2.861415, result: -1.960287
ph: -0.105052 -1.959999 2.861729, result: -1.959999
ph: -0.092681 -1.959743 2.862008, result: -1.959743
ph: -0.080314 -1.959519 2.862253, result: -1.959519
ph: -0.067951 -1.959327 2.862462, result: -1.959327
ph: -0.055592 -1.959167 2.862637, result: -1.959167
ph: -0.043235 -1.959039 2.862776, result: -1.959039
ph: -0.030881 -1.958943 2.862881, result: -1.958943
ph: -0.018528 -1.958879 2.862950, result: -1.958879
ph: -0.006176 -1.958847 2.862985, result: -1.958847
ph: 0.006176 -1.958847 2.862985, result: -1.958847
ph: 0.018528 -1.958879 2.862950, result: -1.958879
ph: 0.030881 -1.958943 2.862881, result: -1.958943
ph: 0.043235 -1.959039 2.862776, result: -1.959039
ph: 0.055592 -1.959167 2.862637, result: -1.959167
ph: 0.067951 -1.959327 2.862462, result: -1.959327
ph: 0.080314 -1.959519 2.862253, result: -1.959519
ph: 0.092681 -1.959743 2.862008, result: -1.959743
ph: 0.105052 -1.959999 2.861729, result: -1.959999
ph: 0.117428 -1.960287 2.861415, result: -1.960287
ph: 0.129810 -1.960608 2.861065, result: -1.960608
ph: 0.142199 -1.960961 2.860680, result: -1.960961
ph: 0.154594 -1.961346 2.860260, result: -1.961346
ph: 0.166997 -1.961764 2.859804, result: -1.961764
ph: 0.179409 -1.962214 2.859313, result: -1.962214
ph: 0.191829 -1.962697 2.858786, result: -1.962697
ph: 0.204259 -1.963213 2.858223, result: -1.963213
ph: 0.216698 -1.963761 2.857624, result: -1.963761
ph: 0.229149 -1.964343 2.856990, result: -1.964343
ph: 0.241611 -1.964958 2.856319, result: -1.964958
ph: 0.254085 -1.965606 2.855612, result: -1.965606
ph: 0.266572 -1.966287 2.854869, result: -1.966287
ph: 0.279072 -1.967002 2.854089, result: -1.967002
ph: 0.291586 -1.967751 2.853272, result: -1.967751
ph: 0.304115 -1.968533 2.852418, result: -1.968533
ph: 0.316659 -1.969350 2.851527, result: -1.969350
ph: 0.329219 -1.970201 2.850599, result: -1.970201
ph: 0.341796 -1.971086 2.849633, result: -1.971086
ph: 0.354391 -1.972006 2.848629, result: -1.972006
ph: 0.367003 -1.972961 2.847588, result: -1.972961
ph: 0.379634 -1.973951 2.846508, result: -1.973951
ph: 0.392285 -1.974976 2.845390, result: -1.974976
ph: 0.404956 -1.976037 2.844232, result: -1.976037
ph: 0.417647 -1.977133 2.843036, result: -1.977133
ph: 0.430361 -1.978266 2.841801, result: -1.978266
ph: 0.443097 -1.979434 2.840526, result: -1.979434
ph: 0.455856 -1.980640 2.839211, result: -1.980640
ph: 0.468639 -1.981882 2.837856, result: -1.981882
ph: 0.481446 -1.983161 2.836460, result: -1.983161
ph: 0.494279 -1.984478 2.835024, result: -1.984478
ph: 0.507139 -1.985832 2.833546, result: -1.985832
ph: 0.520025 -1.987225 2.832027, result: -1.987225
ph: 0.532939 -1.988655 2.830466, result: -1.988655
ph: 0.545882 -1.990125 2.828862, result: -1.990125
ph: 0.558854 -1.991634 2.827216, result: -1.991634
ph: 0.571857 -1.993183 2.825527, result: -1.993183
ph: 0.584891 -1.994771 2.823794, result: -1.994771
ph: 0.597957 -1.996399 2.822018, result: -1.996399
ph: 0.611056 -1.998069 2.820196, result: -1.998069
ph: 0.624189 -1.999779 2.818330, result: -1.999779
ph: -0.678665 -1.999051 2.805278, result: -1.999051
ph: -0.665352 -1.997166 2.807347, result: -1.997166
ph: -0.652077 -1.995325 2.809369, result: -1.995325
ph: -0.638839 -1.993526 2.811344, result: -1.993526
ph: -0.625637 -1.991770 2.813272, result: -1.991770
ph: -0.612470 -1.990055 2.815155, result: -1.990055
ph: -0.599337 -1.988381 2.816992, result: -1.988381
ph: -0.586238 -1.986749 2.818785, result: -1.986749
ph: -0.573171 -1.985156 2.820533, result: -1.985156
ph: -0.560135 -1.983604 2.822237, result: -1.983604
ph: -0.547130 -1.982092 2.823897, result: -1.982092
ph: -0.534155 -1.980619 2.825515, result: -1.980619
ph: -0.521209 -1.979184 2.827089, result: -1.979184
ph: -0.508291 -1.977789 2.828622, result: -1.977789
ph: -0.495401 -1.976431 2.830112, result: -1.976431
ph: -0.482537 -1.975111 2.831561, result: -1.975111
ph: -0.469698 -1.973829 2.832968, result: -1.973829
ph: -0.456884 -1.972584 2.834335, result: -1.972584
ph: -0.444095 -1.971377 2.835661, result: -1.971377
ph: -0.431329 -1.970205 2.836947, result: -1.970205
ph: -0.418585 -1.969070 2.838193, result: -1.969070
ph: -0.405864 -1.967972 2.839399, result: -1.967972
ph: -0.393163 -1.966909 2.840566, result: -1.966909
ph: -0.380483 -1.965882 2.841694, result: -1.965882
ph: -0.367822 -1.964890 2.842783, result: -1.964890
ph: -0.355181 -1.963933 2.843834, result: -1.963933
ph: -0.342557 -1.963011 2.844846, result: -1.963011
